"state","potency","weight","price"
"IL",60,27,1800
"IN",38,55,1800
"PA",33,55,1800
"FL",34,39,1800
"KY",48,54,1800
"CA",52,89,1800
"CA",60,76,1700
"CA",7,111,1700
"NJ",50,56,1700
"CA",53,77,1700
"PA",65,59,1600
"VA",53,55,1600
"LA",49,52,1600
"AR",46,53,1600
"VA",49,56,1600
"TX",50,68,1600
"IL",52,62,1600
"NY",44,52,1500
"FL",94,48,1500
"IL",46,55,1500
"NY",62,54,1500
"IL",75,5,1500
"WA",57,53,1500
"IL",53,47,1500
"MA",55,49,1400
"LA",59,62,1400
"IL",64,54,1400
"IN",63,62,1400
"SC",71,66,1400
"IL",48,55,1300
"FL",90,35,1200
"FL",80,34,1200
"LA",46,42,1100
"WV",42,28,1100
"IA",61,19,1100
"MA",42,30,1100
"DC",48,30,1000
"GA",62,30,1000
"UT",88,8,1000
"PA",55,27,1000
"DC",48,30,1000
"CT",48,27,980
"NY",68,27,950
"DE",46,21,900
"TX",31,47,900
"PA",57,26,850
"CA",57,22,840
"IL",13,27,830
"IL",66,20,800
"FL",83,8,800
"NY",74,27,800
"VA",29,26,800
"FL",85,12,800
"IL",47,28,800
"FL",44,11,800
"IN",70,24,800
"FL",81,26,800
"FL",93,22,780
"FL",77,24,750
"WV",70,7,750
"CA",62,26,750
"LA",70,19,750
"IL",55,20,700
"VA",33,27,700
"FL",88,24,700
"CA",81,21,700
"IL",40,24,700
"NH",39,7,650
"NH",35,6,650
"CA",80,24,650
"NV",70,24,630
"UT",83,11,600
"CA",78,27,600
"ME",73,3,600
"OH",62,12,590
"TX",52,31,580
"VA",86,5,550
"LA",85,7,550
"IL",36,14,520
"MO",83,7,500
"VA",47,10,500
"CA",81,24,500
"DC",71,7,500
"CT",63,13,500
"FL",54,13,500
"CA",77,20,500
"VA",60,3,500
"IN",62,14,500
"PA",59,8,500
"IL",38,4,500
"WA",77,14,460
"IL",60,14,460
"MA",87,5,450
"OK",58,13,450
"IN",50,13,450
"MO",86,13,450
"FL",85,10,450
"WA",71,15,450
"VA",57,8,450
"VA",36,8,450
"GA",59,15,450
"PA",63,2,430
"WV",59,5,420
"PA",25,3,420
"UT",82,4,400
"CA",47,23,400
"IN",69,13,400
"IN",76,12,400
"FL",76,6,400
"FL",46,2,400
"IL",49,12,400
"MA",37,11,360
"VA",55,3,350
"VA",47,7,310
"MO",84,4,300
"LA",44,10,300
"DC",80,4,300
"IA",62,4,300
"MA",51,2,300
"DC",79,3,300
"MA",65,3,300
"FL",83,2,300
"FL",59,2,300
"IA",66,7,300
"VA",57,5,300
"CA",54,12,300
"CA",58,13,300
"PA",80,2,300
"FL",87,2,300
"MO",60,5,300
"VA",20,7,290
"NY",85,4,280
"IL",46,5,280
"IL",43,11,280
"VA",52,7,280
"CA",65,5,260
"VA",82,6,250
"VA",94,3,250
"VA",57,3,230
"OK",80,7,230
"VA",49,8,220
"PA",78,2,210
"NY",79,5,200
"IN",66,6,200
"VA",49,6,200
"MO",92,2,200
"MA",41,3,200
"VA",86,2,200
"LA",79,3,200
"FL",89,3,200
"CT",47,3,200
"MO",85,2,200
"MO",89,2,200
"FL",45,2,200
"WA",54,6,190
"VA",55,1,180
"CT",58,2,180
"VA",43,1,180
"CA",75,4,170
"MA",45,2,160
"IA",84,2,150
"WV",45,1,150
"MA",59,1,150
"VA",62,2,130
"WA",70,3,120
"MO",84,1,120
"VA",63,1,120
"IL",81,1,120
"KY",89,1,120
"FL",78,1,100
"LA",56,2,100
"CA",63,3,100
"WV",71,1,100
"NY",85,2,100
"NY",73,1,100
"VA",72,1,100
"FL",84,1,100
"GA",85,2,100
"WA",79,2,100
"GA",71,1,100
"WA",72,1,100
"MA",64,1,100
"MO",82,3,100
"VA",60,1,100
"FL",47,1,100
"MA",44,1,100
"AL",81,1,100
"NY",82,1,90
"NY",92,1,60
"CA",78,1,60
"VA",54,1,50
"NY",93,1,50
"GA",87,2,50
"CA",56,2,45
"NY",93,1,40
"FL",78,1,40
"GA",83,1,40
"HI",75,110,6400
"NJ",39,147,4500
"FL",49,84,4200
"IL",48,124,3200
"VA",31,90,3000
"FL",36,20,3000
"AL",61,120,2800
"FL",49,31,2600
"CA",56,95,2500
"OH",38,55,2400
"MN",73,8,2400
"FL",48,78,2300
"FL",61,59,2300
"CA",38,103,2300
"IA",45,47,2200
"VA",44,53,2200
"OH",39,53,2200
"LA",60,84,2100
"LA",86,43,2100
"FL",49,57,2100
"FL",24,70,2100
"NY",56,57,2100
"DC",53,58,2000
"NY",59,45,2000
"GA",51,61,2000
"KY",59,39,1900
"FL",43,46,1900
"MI",34,41,1800
"CA",76,72,1800
"SC",82,48,1800
"CT",72,49,1800
"IL",45,63,1800
"CA",78,71,1800
"OH",44,42,1800
"LA",35,52,1800
"GA",42,20,1700
"MO",60,54,1700
"CT",49,55,1700
"FL",78,39,1600
"NY",68,48,1600
"KY",31,49,1600
"FL",58,33,1500
"FL",30,41,1500
"IL",74,62,1500
"IL",43,53,1500
"NY",78,50,1500
"CA",58,55,1500
"FL",32,19,1500
"IL",72,62,1500
"CA",63,56,1500
"OK",42,62,1500
"CA",82,50,1300
"GA",58,61,1300
"IL",46,40,1300
"OK",42,29,1300
"NV",74,48,1300
"GA",42,60,1300
"MD",63,25,1200
"VA",71,10,1200
"FL",31,37,1200
"CA",65,50,1200
"VA",43,55,1200
"CA",57,54,1200
"IN",44,28,1200
"IN",38,28,1200
"RI",30,27,1100
"NY",69,26,1100
"DC",55,30,1100
"IN",54,45,1000
"VA",90,7,1000
"FL",86,7,1000
"KS",52,28,1000
"LA",61,44,1000
"FL",36,23,1000
"MD",66,26,1000
"FL",53,8,1000
"CT",49,28,1000
"FL",39,8,1000
"NY",43,28,980
"AL",46,28,950
"IL",33,28,920
"GA",82,11,900
"NY",62,27,900
"IL",56,28,900
"IL",32,28,900
"VA",42,28,900
"VA",49,27,820
"PA",55,8,800
"GA",58,22,800
"IL",77,20,800
"VA",26,16,800
"FL",48,7,800
"CT",80,7,800
"LA",73,19,800
"LA",52,27,780
"IN",65,24,750
"MO",25,13,750
"CA",63,28,750
"FL",57,24,750
"CA",71,27,710
"CA",73,23,700
"NV",70,22,700
"OK",61,8,700
"CA",93,28,700
"ME",47,7,700
"VA",86,5,700
"VA",77,6,650
"LA",61,23,650
"LA",55,26,650
"FL",69,7,650
"CA",65,27,600
"FL",33,19,600
"WI",77,7,600
"WV",71,14,600
"WV",68,13,600
"VA",59,7,600
"IN",35,13,600
"WV",42,7,600
"LA",78,12,600
"IN",75,12,600
"FL",36,18,500
"WI",49,8,500
"VA",44,13,500
"FL",97,2,500
"MO",72,9,500
"OK",61,6,500
"AL",56,6,500
"AL",47,8,500
"CA",73,17,500
"VA",44,14,480
"VA",43,14,460
"VA",55,13,450
"VA",39,13,450
"FL",40,8,450
"GA",80,4,450
"CA",69,11,450
"CA",67,11,450
"CA",81,5,450
"GA",60,12,450
"MN",71,5,450
"OK",52,14,450
"FL",62,12,450
"MO",46,7,450
"FL",50,4,430
"IA",47,2,400
"FL",86,8,400
"MO",53,10,400
"VA",69,13,400
"CA",58,6,400
"MO",77,8,400
"FL",69,6,400
"MO",76,3,400
"NJ",47,6,400
"LA",51,4,400
"NJ",49,4,360
"FL",78,8,360
"MO",67,9,350
"VA",70,6,350
"LA",92,6,350
"AL",62,5,350
"IL",64,5,350
"CA",62,13,300
"PA",42,3,300
"VA",60,3,300
"WA",78,8,300
"WA",77,8,300
"IA",52,7,300
"VA",61,3,300
"CA",78,4,300
"WV",70,9,300
"IN",48,5,300
"NJ",63,6,300
"MD",66,4,300
"PA",40,4,300
"OK",61,3,300
"PA",92,2,300
"PA",39,4,300
"PA",76,4,300
"FL",85,5,300
"IN",54,7,280
"VA",42,6,260
"MO",56,4,250
"MO",60,5,250
"VA",31,7,250
"FL",68,2,250
"FL",82,1,250
"FL",54,3,250
"FL",80,4,250
"FL",77,1,250
"OK",50,7,230
"FL",53,8,230
"MO",64,2,220
"WA",80,63,200
"MO",90,2,200
"PA",84,2,200
"FL",69,2,200
"PA",92,1,200
"TX",72,4,200
"TX",70,4,200
"FL",85,1,200
"TX",58,4,200
"CT",78,4,200
"FL",65,2,200
"PA",41,2,200
"FL",78,2,200
"FL",85,4,200
